Date,Open,High,Low,Close,Adj Close,Volume
1/27/2021,1844.9,1844.9,1844.9,1844.9,1844.9,195540
1/28/2021,1843.4,1862.9,1831.5,1837.9,1837.9,27283
1/29/2021,1842,1876,1838.7,1847.3,1847.3,1634
2/1/2021,1866.6,1871.9,1850,1860.8,1860.8,1494
2/2/2021,1859.6,1861.3,1827.6,1830.5,1830.5,1293
2/3/2021,1834.8,1842.4,1829.8,1832.2,1832.2,1195
2/4/2021,1832.2,1832.2,1782.8,1788.9,1788.9,2375
2/5/2021,1794.3,1813.5,1790.9,1810.9,1810.9,1278
2/8/2021,1816.3,1836.7,1809,1831.9,1831.9,254
2/9/2021,1841.9,1843.3,1830.7,1835.3,1835.3,184
2/10/2021,1842.6,1851.1,1837,1840.6,1840.6,543
2/11/2021,1840.5,1845,1820.9,1824.9,1824.9,602
2/12/2021,1825,1827.5,1809.2,1821.6,1821.6,259
2/16/2021,1820.9,1823.4,1787.3,1797.2,1797.2,1141
2/17/2021,1785.8,1789.7,1768.8,1771.1,1771.1,614
2/18/2021,1776.1,1784.6,1766,1773.4,1773.4,587
2/19/2021,1764.3,1787.6,1764.3,1775.8,1775.8,118
2/22/2021,1784,1807.8,1784,1806.7,1806.7,165
2/23/2021,1809.6,1811.3,1796.4,1804.4,1804.4,569
2/24/2021,1805.8,1805.8,1796.4,1796.4,1796.4,1500
2/25/2021,1801.5,1802,1766.7,1774.4,1774.4,1049
2/26/2021,1768.1,1768.2,1718.8,1728.1,1728.1,1593
3/1/2021,1737.1,1747,1720.3,1722.5,1722.5,407
3/2/2021,1709.4,1733.1,1708.7,1733.1,1733.1,867
3/3/2021,1730,1732.4,1703.5,1715.3,1715.3,501
3/4/2021,1706.5,1717.4,1700.2,1700.2,1700.2,521
3/5/2021,1690.6,1701,1685,1698.0,1698,302
3/8/2021,1704.7,1705.4,1673.7,1677.7,1677.7,1290
3/9/2021,1686.2,1717.5,1685.2,1716.6,1716.6,335
3/10/2021,1713.6,1722.9,1711,1721.5,1721.5,412
3/11/2021,1725.6,1737.5,1720.2,1722.3,1722.3,18
3/12/2021,1715.9,1722.5,1699,1719.5,1719.5,80
3/14/2021,1729.5,1731.9,1722.8,1728.9,1728.9,147
3/15/2021,1732.3,1733.9,1726,1730.6,1730.6,729
3/16/2021,1735.3,1750.1,1725.6,1726.8,1726.8,488
3/17/2021,1745.8,1750.3,1721.8,1732.2,1732.2,138
3/18/2021,1742.2,1742.2,1733.6,1741.4,1741.4,13
3/21/2021,1737.8,1737.8,1737.8,1737.8,1737.8,51
3/22/2021,1724.7,1724.7,1724.7,1724.7,1724.7,6
3/23/2021,1727.5,1732.9,1727.5,1732.9,1732.9,26
3/24/2021,1732.7,1733.2,1724.5,1724.9,1724.9,15
3/25/2021,1721.3,1732.2,1721.3,1732.2,1732.2,33
3/28/2021,1712.1,1712.1,1712.1,1712.1,1712.1,135457
3/29/2021,1711,1712.6,1676.5,1683.9,1683.9,25316
3/30/2021,1683.7,1713.8,1676.5,1713.8,1713.8,762
3/31/2021,1706.8,1728.8,1706.4,1726.5,1726.5,720
4/4/2021,1727.9,1729.7,1721.9,1727.0,1727,275
4/5/2021,1726.9,1744.8,1726.9,1741.5,1741.5,890
4/6/2021,1742.7,1742.7,1733.7,1740.1,1740.1,557
4/7/2021,1736,1758,1734.6,1756.8,1756.8,1298
4/8/2021,1750.8,1750.8,1733.3,1743.3,1743.3,484
4/11/2021,1740.8,1740.8,1726.7,1731.2,1731.2,40
4/12/2021,1733.8,1746.9,1722.1,1746.2,1746.2,367
4/13/2021,1741.3,1745.9,1732.7,1734.9,1734.9,1037
4/14/2021,1740.1,1767.9,1740.1,1765.4,1765.4,368
4/15/2021,1770.4,1779.5,1770.1,1779.0,1779,625
4/18/2021,1782.1,1788.5,1769.4,1769.4,1769.4,144
4/19/2021,1769.3,1777.3,1765.5,1777.3,1777.3,1464
4/20/2021,1783,1794.1,1777.7,1792.3,1792.3,250
4/21/2021,1794.2,1794.2,1779.5,1781.2,1781.2,159
4/22/2021,1786.1,1794.5,1772,1777.0,1777,332
4/25/2021,1778,1779.7,1770.8,1779.2,1779.2,549
4/26/2021,1780,1782,1777.7,1778.0,1778,117
4/27/2021,1768.2,1774,1764.6,1773.2,1773.2,756
4/28/2021,1781,1789,1758.6,1768.1,1768.1,196
4/29/2021,1771.8,1771.8,1763.9,1767.3,1767.3,18
5/2/2021,1788.5,1793,1788.5,1791.4,1791.4,18
5/3/2021,1788.2,1788.5,1774.8,1775.8,1775.8,182
5/4/2021,1781.5,1784.1,1779.2,1784.1,1784.1,57
5/5/2021,1788.9,1815.5,1787.6,1815.5,1815.5,13
5/6/2021,1842.9,1842.9,1831.1,1831.1,1831.1,2
5/9/2021,1835.6,1845.6,1835.4,1837.5,1837.5,13
5/10/2021,1837.2,1838.1,1831.6,1835.9,1835.9,420
5/11/2021,1825.2,1825.2,1821.7,1822.6,1822.6,3
5/12/2021,1814.7,1826.8,1814.1,1823.8,1823.8,100
5/13/2021,1824.5,1842.9,1824.5,1837.9,1837.9,41
5/16/2021,1849.9,1867.5,1847.2,1867.5,1867.5,13
5/17/2021,1870.5,1870.5,1867.8,1867.8,1867.8,3
5/18/2021,1866.4,1884.9,1863.6,1881.3,1881.3,348
5/19/2021,1865.5,1885,1864.8,1881.8,1881.8,85
5/20/2021,1872.1,1876.7,1872.1,1876.7,1876.7,5
5/23/2021,1882.1,1884.6,1882.1,1884.6,1884.6,39
5/24/2021,1882.5,1898.1,1882.5,1898.1,1898.1,56
5/25/2021,1901.3,1901.3,1901.3,1901.3,1901.3,170526
5/26/2021,1896.8,1903.9,1888.2,1895.7,1895.7,35794
5/27/2021,1897.5,1905.4,1881.9,1902.5,1902.5,2415
5/31/2021,1905.1,1916.2,1892.8,1902.9,1902.9,640
6/1/2021,1899.2,1908.8,1896,1907.5,1907.5,1267
6/2/2021,1908.8,1908.8,1865,1871.2,1871.2,1021
6/3/2021,1869.3,1895.5,1854,1889.8,1889.8,367
6/6/2021,1890.5,1899.7,1883.2,1896.8,1896.8,87
6/7/2021,1896.5,1902.9,1890,1892.2,1892.2,930
6/8/2021,1894.9,1897.7,1889.2,1893.2,1893.2,148
6/9/2021,1887.7,1899.8,1871.5,1894.2,1894.2,186
6/10/2021,1900.9,1902.3,1875.2,1877.4,1877.4,349
6/13/2021,1866.2,1866.6,1846.5,1864.0,1864,41
6/14/2021,1866.4,1867.2,1854.4,1854.5,1854.5,78
6/15/2021,1859.4,1860.1,1809.2,1859.5,1859.5,117
6/16/2021,1811.8,1823.3,1769.6,1773.8,1773.8,1135
